symbol,mcap_cr
ARROWGREEN,1125.6
CENTRUM,1125.1
IRMENERGY,1122.2
AIMTRON,1113.2
BCLIND,1099.2
AMNPLST,1094.3
GHCLTEXTIL,1092.4
CREST,1087.0
DAMCAPITAL,1084.0
GANDHITUBE,1082.9
AVTNPL,1076.0
ARIS,1075.8
GRPLTD,1070.6
HITECHGEAR,1068.6
EIMCOELECO,1068.3
BIL,1067.7
HMAAGRO,1046.1
BALAJITELE,1045.9
FAIRCHEMOR,1044.5
GKSL,1029.4
APS,1026.8
BIRLANU,1026.5
AFSL,1022.5
AMBIKCO,1018.9
HIMATSEIDE,1013.7
HEALTHX,1009.2
